id,指标主键,quota_level,建议ID,风险级别,画像类别,驾驶员建议内容,管理员建议内容,建议来源
20,驾驶员画像-事故风险-违法违章-视频抽检违规率,3,20,4,驾驶员画像,每日出车前自查驾驶规范（如系安全带、握方向盘姿势），对照过往抽检违规点，刻意纠正不良操作，降低违规率。,建立视频抽检违规率指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
21,驾驶员画像-事故风险-不良行为-起步急加速,3,21,4,驾驶员画像,车辆起步时油门踩下幅度不超 1/3，缓慢提速至正常行驶速度，避免猛踩油门导致急加速。,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
22,驾驶员画像-事故风险-不良行为-急加速,3,22,4,驾驶员画像,驾驶中控制油门和刹车力度，避免频繁急加速，保持平顺驾驶节奏。,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
23,驾驶员画像-事故风险-不良行为-急减速,3,23,4,驾驶员画像,提前预判路况（如前车减速、路口），缓慢踩下刹车减速，避免突然猛踩刹车导致急减速。,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
24,驾驶员画像-事故风险-不良行为-急刹车,3,24,4,驾驶员画像,驾驶中控制油门和刹车力度，避免频繁急刹车，保持平顺驾驶节奏。,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
25,驾驶员画像-事故风险-不良行为-斑马线不文明礼让,3,25,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
26,驾驶员画像-事故风险-不良行为-斑马线超速,3,26,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
27,驾驶员画像-事故风险-不良行为-违规使用手刹,3,27,4,驾驶员画像,车辆停稳后再拉起手刹，坡道停车时手刹拉至足够力度，避免未停稳或手刹未拉到位导致溜车。,建立违规使用手刹指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
28,驾驶员画像-事故风险-不良行为-停站N档违规,3,28,4,驾驶员画像,车辆进站停稳后再挂 N 档，上下客完成后及时挂 D 档起步，避免未停稳或长时间挂 N 档。,建立停站N档违规指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
29,驾驶员画像-事故风险-不良行为-违规使用N档,3,29,4,驾驶员画像,仅在车辆完全停稳（如进站、维修）时挂 N 档，行驶过程中注意挂 N 档滑行或临时停车。,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
30,驾驶员画像-事故风险-不良行为-不规范转弯,3,30,4,驾驶员画像,行经急转弯路段时提前减速至20km/h以下，鸣笛示意并观察对向车辆。,建立不规范转弯指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
31,驾驶员画像-事故风险-不良行为-车辆未停稳开车门,3,31,4,驾驶员画像,车辆完全停稳（车身静止、手刹拉起）后，观察侧后方无行人 / 车辆时再开启车门，注意未停稳开门。,建立车辆未停稳开车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
32,驾驶员画像-事故风险-不良行为-车辆起步不关车门,3,32,4,驾驶员画像,起步前通过内外后视镜确认所有车门完全关闭，仪表盘无车门报警后再起步，避免漏关车门。,建立车辆起步不关车门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
33,驾驶员画像-事故风险-不良行为-空档滑行,3,33,4,驾驶员画像,注意下坡或路口前空档滑行，始终挂档行驶，确保制动系统正常响应。,通过车载监控抓拍空档滑行行为，对违规者开展制动安全培训，考核合格再上岗。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
34,驾驶员画像-事故风险-不良行为-熄火滑行,3,34,4,驾驶员画像,行驶中保持发动机运转，注意熄火滑行，避免失去动力转向和制动助力，引发安全隐患。,建立熄火滑行指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
35,驾驶员画像-事故风险-不良行为-不文明鸣笛,3,35,4,驾驶员画像,仅在紧急情况（如行人横穿、车辆变道未观察）时短按喇叭，居民区、学校周边禁鸣，避免长鸣或恶意鸣笛。,建立不文明鸣笛指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
36,驾驶员画像-事故风险-不良行为-安全带行为,3,36,4,驾驶员画像,上车后立即系好安全带，调整至舒适且紧固状态，全程保持安全带系好，注意中途解开。,建立安全带行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
37,驾驶员画像-事故风险-不良行为-不规范进站,3,37,4,驾驶员画像,进站前提前减速至 20km/h，开启右转向灯，沿站台平稳驶入，停稳后车身与站台距离控制在 30cm 内。,建立不规范进站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
38,驾驶员画像-事故风险-不良行为-不规范出站,3,38,4,驾驶员画像,确认乘客上下车完毕、车门关闭后，观察后方来车，打左转向灯，缓慢驶出站台并入主路,建立不规范出站指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
39,驾驶员画像-事故风险-不良行为-急停,3,39,4,驾驶员画像,仅在突发危险（如前方事故、障碍物）时紧急停车，停车前提前打双闪，避免无预警急停影响后车。,建立急停指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
40,驾驶员画像-事故风险-不良行为-门开禁启开关,3,40,4,驾驶员画像,车门未完全关闭时，不启动车辆或开启禁启开关，确认车门关闭到位后再操作，防止开关失效。,建立门开禁启开关指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
41,驾驶员画像-事故风险-不良行为-停车不挂N档,3,41,4,驾驶员画像,车辆停稳后（如进站、临时停车）及时挂入 N 挡，拉起手刹，避免长时间挂 D 挡或 R 挡导致设备损耗。,建立停车不挂N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
42,驾驶员画像-事故风险-不良行为-不规范开关门,3,42,4,驾驶员画像,开关门前观察车内乘客状态（如老人、小孩），缓慢操作车门按钮，避免车门过快开关夹伤乘客。,建立不规范开关门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
43,驾驶员画像-事故风险-不良行为-安全启动,3,43,4,驾驶员画像,启动前确认档位在 N 挡、手刹拉起，检查仪表盘无故障灯，踩下刹车后再启动发动机，避免带档启动。,建立安全启动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
44,驾驶员画像-事故风险-不良行为-违规使用空调,3,44,4,驾驶员画像,根据车内温度合理调节空调（夏季 24-26℃、冬季 20-22℃），停车熄火前关闭空调，避免下次启动负荷过大。,建立违规使用空调指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
45,驾驶员画像-事故风险-不良行为-平路不规范行为,3,45,4,驾驶员画像,平路行驶保持匀速（40-60km/h），避免频繁急加速、急刹车，双手轻握方向盘，保持车道居中。,建立平路不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
46,驾驶员画像-事故风险-不良行为-上坡不规范行为,3,46,4,驾驶员画像,上坡前提前提速，保持足够动力，避免中途停车或倒车，坡道行驶与前车距离增至≥100 米。,建立上坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
47,驾驶员画像-事故风险-不良行为-下坡不规范行为,3,47,4,驾驶员画像,下坡时挂低档位（如 3 档）牵制车速，避免长时间踩刹车，与前车距离保持≥80 米，注意空档滑行。,建立下坡不规范行为指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
48,驾驶员画像-事故风险-不良行为-违规使用总电,3,48,4,驾驶员画像,仅在车辆启动前或维修时开启总电开关，行驶中注意频繁切换总电，避免电气设备故障。,建立违规使用总电指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
49,驾驶员画像-事故风险-不良行为-路口大油门,3,49,4,驾驶员画像,路口起步或通行时，缓慢踩下油门，避免大油门急加速，防止车辆窜动或影响横向车辆。,建立路口大油门指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
50,驾驶员画像-事故风险-不良行为-进站违规制动,3,50,4,驾驶员画像,进站前提前 50 米缓慢踩刹车减速，避免临近站台猛踩制动，确保车辆平稳停稳，减少乘客前倾。,建立进站违规制动指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
51,驾驶员画像-事故风险-不良行为-区间超速,3,51,4,驾驶员画像,区间行驶中观察限速标识（如 60km/h），控制车速不超限速，避免区间平均速度超标。,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
52,驾驶员画像-事故风险-不良行为-全局超速,3,52,4,驾驶员画像,全程关注道路限速标识，不同路段（城区、高速）按对应限速行驶，避免任何时段超速。,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
53,驾驶员画像-事故风险-不良行为-左转弯未刹车,3,53,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
54,驾驶员画像-事故风险-不良行为-右转弯未刹车,3,54,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
55,驾驶员画像-事故风险-不良行为-车距过近,3,55,4,驾驶员画像,与前车保持安全车距（城区≥50 米、高速≥100 米），遇雨天、雾天增至 2 倍车距，避免跟车过近。,建立车距过近指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
56,驾驶员画像-事故风险-不良行为-车道保持能力下降,3,56,4,驾驶员画像,行驶中刻意保持车辆居中，避免频繁偏离车道，若出现疲劳导致车道保持差，立即申请休息。,建立车道保持能力下降指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
57,驾驶员画像-事故风险-不良行为-分神,3,57,4,驾驶员画像,驾驶中专注路况，不做与驾驶无关的事（如看手机、整理物品），出现分神时轻握方向盘，调整注意力。,建立分神指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
58,驾驶员画像-事故风险-不良行为-行人避让预警,3,58,4,驾驶员画像,收到行人避让预警时，立即减速或停车，观察预警方向是否有行人，避免未避让引发事故。,建立行人避让预警指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
59,驾驶员画像-事故风险-不良行为-前车碰撞预警,3,59,4,驾驶员画像,触发前车碰撞预警后，迅速轻踩刹车减速，与前车拉开安全距离，避免追尾。,建立前车碰撞预警指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
60,驾驶员画像-事故风险-不良行为-未系安全带,3,60,4,驾驶员画像,上车后第一时间系好安全带，行驶中若安全带松动，靠边停车调整后再继续行驶，注意未系安全带。,建立未系安全带指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
61,驾驶员画像-事故风险-不良行为-打电话,3,61,4,驾驶员画像,驾驶中注意手持电话通话，若需接打电话，靠边停车后再操作，或使用车载蓝牙免提功能（确保不影响驾驶）。,建立打电话指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
62,驾驶员画像-事故风险-不良行为-手长时间离开方向盘(吸烟),3,62,4,驾驶员画像,驾驶中双手始终轻握方向盘，注意吸烟（手长时间离开），若需吸烟，停靠服务区或安全区域。,建立手长时间离开方向盘(吸烟)指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
63,驾驶员画像-事故风险-不良行为-严重疲劳驾驶识别,3,63,4,驾驶员画像,被识别为严重疲劳驾驶时，立即前往就近服务区或安全区域休息（≥20 分钟），恢复精力后再行驶。,建立严重疲劳驾驶识别指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
64,驾驶员画像-事故风险-不良行为-握方向盘不规范,3,64,4,驾驶员画像,双手按 “9 点 15 分” 位置轻握方向盘，力度适中，避免单手握盘或双手集中在一侧。,建立握方向盘不规范指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
65,驾驶员画像-事故风险-不良行为-驾驶姿势不端正,3,65,4,驾驶员画像,调整座椅至舒适位置，背部紧贴椅背，双脚能自然踩下油门和刹车，避免弯腰、耸肩等不端正姿势。,建立驾驶姿势不端正指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
66,驾驶员画像-服务态度-车辆技术投诉次数,2,66,4,驾驶员画像,每日出车前检查轮胎、制动等关键技术部件，发现异常立即上报。,建立车辆技术指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
67,驾驶员画像-服务态度-安全管理投诉次数,2,67,4,驾驶员画像,遵守安全管理制度，自查安全装备，针对性纠正高频安全隐患行为。,建立安全管理指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
68,驾驶员画像-服务态度-服务质量投诉次数,2,68,4,驾驶员画像,运营中用文明用语，主动帮助特殊乘客，耐心回应乘客疑问。,建立服务质量指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2025〕58号-广州巴士集团有限公司关于印发服务投诉管理规定的通知》
69,驾驶员画像-安全评价-安全启动,2,69,4,驾驶员画像,启动前确认档位在 N 挡、手刹拉起，检查仪表盘无故障灯，踩下刹车后再启动发动机，避免带档启动。,建立-指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
70,驾驶员画像-安全评价-违规使用N档,2,70,4,驾驶员画像,仅在车辆完全停稳（如进站、维修）时挂 N 档，行驶过程中注意挂 N 档滑行或临时停车。,建立违规使用N档指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
71,驾驶员画像-安全评价-全局超速,2,71,4,驾驶员画像,全程关注道路限速标识，不同路段（城区、高速）按对应限速行驶，避免任何时段超速。,建立全局超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
72,驾驶员画像-安全评价-斑马线超速,2,72,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
73,驾驶员画像-安全评价-斑马线不文明礼让,2,73,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
74,驾驶员画像-安全评价-区间超速,2,74,4,驾驶员画像,区间行驶中观察限速标识（如 60km/h），控制车速不超限速，避免区间平均速度超标。,建立区间超速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
75,驾驶员画像-安全评价-右转弯未刹车,2,75,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立右转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
76,驾驶员画像-安全评价-左转弯未刹车,2,76,4,驾驶员画像,每日出车前测试刹车灵敏度，发现刹车软/异响立即停止运营并上报。,建立左转弯未刹车指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
77,驾驶员画像-能耗风险-不良行为-起步急加速,3,77,4,驾驶员画像,车辆起步时缓慢踩下油门，控制提速节奏，避免猛踩油门导致起步急加速，确保乘客平稳。,建立起步急加速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
78,驾驶员画像-能耗风险-不良行为-急加速,3,78,4,驾驶员画像,驾驶中控制油门和刹车力度，避免频繁急加速，保持平顺驾驶节奏。,分析车载数据识别急加速高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
79,驾驶员画像-能耗风险-不良行为-急减速,3,79,4,驾驶员画像,针对急减速指标定期自查，发现异常（如数据超标）立即上报，避免风险扩大。,建立急减速指标监测台账，数据超标时及时干预，避免风险扩散。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
80,驾驶员画像-能耗风险-不良行为-急刹车,3,80,4,驾驶员画像,驾驶中控制油门和刹车力度，避免频繁急刹车，保持平顺驾驶节奏。,分析车载数据识别急刹车高频驾驶员，开展1对1平顺驾驶指导，降低行为频次。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
81,驾驶员画像-能耗风险-不良行为-斑马线不文明礼让,3,81,4,驾驶员画像,线路中斑马线密集路段提前减速，观察行人动态，确认安全后再通行。,在斑马线密集路段增设减速标识和提示音，提醒驾驶员提前减速让行。,《穗巴士集〔2022〕178号 广州巴士集团有限公司关于印发公交营运驾驶员服务工作规范的通知》
