"moudle","id","data_name"
"电机控制器（右）","D67","电机母线电流"
"电机控制器（右）","D68","逆变器温度"
"电机控制器（右）","D69","右电机绕组温度"
"电机控制器（右）","D70","电机控制器基本状态"
"电机控制器（右）","D71","右电机故障"
"整车控制器","D72","整车控制器状态"
"整车控制器","D73","制动踏板开度"
"整车控制器","D74","加速踏板"
"整车控制器","D75","制动信号"
"整车控制器","D76","手刹状态"
"整车控制器","D77","动力电池故障"
"整车控制器","D78","DC/DC状态"
"整车控制器","D79","助力转向泵状态"
"整车控制器","D80","蓄电池状态"
"整车控制器","D81","点火信号"
"轮胎","D82","轮胎压力"
"轮胎","D83","胎压温度"
"轮胎","D84","轮胎温度报警"
"轮胎","D85","轮胎压力监测"
"轮胎","D86","轮胎位置"
"空调","D87","空调工作模式"
"空调","D88","新风状态"
"空调","D89","车外温度"
"空调","D90","空调设定温度"
"空调","D91","车内温度"
"空调","D92","风档"
"润滑","D93","润滑时间"
"润滑","D94","润滑次数"
"润滑","D95","润滑系统工作状态"
"润滑","D96","储油器状态"
"润滑","D97","电机状态"
"润滑","D98","润滑系统故障"
"打气泵","D99","打气泵实际转速RPM"
"打气泵","D101","控制器故障代码"
"打气泵","D102","前气压"
"打气泵","D103","后气压"
"打气泵","D104","控制器状态"
"助力转向泵","D105","打气泵实际转速RPM"
"助力转向泵","D106","控制器温度"
"助力转向泵","D107","控制器故障代码"
"助力转向泵","D108","控制器状态"
"DCDC","D109","控制器温度"
"DCDC","D110","控制器故障代码"
"DCDC","D111","控制器状态"
"DCDC","D112","DC/DC状态"
"绝缘监测","D113","绝缘监测故障代码"
"CAN程序版本","D114","CAN程序版本"
"车辆信息拓展","D115","信噪比"
"车辆信息拓展","D116","接收信号强度"
"车辆信息拓展","D117","参考信号接收功率"
"车辆信息拓展","D118","入网状态"
"车辆信息拓展","D119","定位模块信号状态"
"车辆信息拓展","D120","定位模块平均信噪比"
"车辆信息拓展","D121","卫星个数"
"车辆信息拓展","D122","时间差"
"车辆信息拓展","D123","总电耗"
"车辆信息拓展","D124","发动机辅助控制模式"
"车辆信息拓展","D125","电子刹车"
"车辆信息拓展","D126","储油器状态"
"车辆信息拓展","D127","怠速停机状态"
"车辆信息拓展","D128","进出站信息"
"车辆信息拓展","D129","驾驶员编号"
"车辆信息拓展","D130","线路编号"
"车辆信息拓展","D131","车辆类型"
"故障信息","D187","故障发生情况"
"故障信息","D188","设备修复情况"
"管路","D193","管路高压状态"
"管路","D194","管路低压状态"
"管路","D195","管路中压状态"
"管路","D196","水泵输出状态"
"管路","D197","发动机励磁状态"
"车身整体信息","D198","总电压"
"车身整体信息","D199","总电流"
"车身整体信息","D200","soc"
"车身整体信息","D201","soh"
"车身整体信息","D202","续航里程(km)"
"车身整体信息","D203","最高单体电压"
"车身整体信息","D204","最低单体电压"
"车身整体信息","D205","最高单体电压箱号"
"车身整体信息","D206","最高单体电压块号"
"车身整体信息","D207","最低单体电压箱号"
"车身整体信息","D208","最低单体电压块号"
"车身整体信息","D209","平均电压"
"车身整体信息","D210","最高单体温度"
"车身整体信息","D211","最低单体温度"
"车身整体信息","D212","最高单体温度箱号"
"车身整体信息","D213","最高单体温度块号"
"车身整体信息","D214","最低单体温度箱号"
"车身整体信息","D215","最低单体温度块号"
"车身整体信息","D216","平均温度"
"车身整体信息","D217","电池箱最高温度(°C)"
"车身整体信息","D218","电池状态"
"车身整体信息2（未明确协议，后续根据车型添加）","D219","总电压"
"车身整体信息2（未明确协议，后续根据车型添加）","D220","总电流"
"车身整体信息2（未明确协议，后续根据车型添加）","D221","soc"
"车身整体信息2（未明确协议，后续根据车型添加）","D222","soh"
"车身整体信息2（未明确协议，后续根据车型添加）","D223","续航里程"
"车身整体信息2（未明确协议，后续根据车型添加）","D224","最高单体电压"
"车身整体信息2（未明确协议，后续根据车型添加）","D225","最低单体电压"
"车身整体信息2（未明确协议，后续根据车型添加）","D226","最高单体电压箱号"
"车身整体信息2（未明确协议，后续根据车型添加）","D227","最高单体电压块号"
"车身整体信息2（未明确协议，后续根据车型添加）","D228","最低单体电压箱号"
"车身整体信息2（未明确协议，后续根据车型添加）","D229","最低单体电压块号"
"车身整体信息2（未明确协议，后续根据车型添加）","D230","平均电压"
"车身整体信息2（未明确协议，后续根据车型添加）","D231","最高单体温度"
"车身整体信息2（未明确协议，后续根据车型添加）","D232","最低单体温度"
"车身整体信息2（未明确协议，后续根据车型添加）","D233","最高单体温度箱号"
"车身整体信息2（未明确协议，后续根据车型添加）","D234","最高单体温度块号"
"车身整体信息2（未明确协议，后续根据车型添加）","D235","最低单体温度箱号"
"车身整体信息2（未明确协议，后续根据车型添加）","D236","最低单体温度块号"
"车身整体信息2（未明确协议，后续根据车型添加）","D237","平均温度"
"车身整体信息2（未明确协议，后续根据车型添加）","D238","电池箱最高温度(°C)"
"车身整体信息2（未明确协议，后续根据车型添加）","D239","电池状态"
"车辆信息拓展","D240","上下行服务号"
"打气泵·","D100","控制器温度"
